Phase;T;RH;R;FF;RMM1;RMM2;RMM;Angle;Angle (+);PhaseManual
4;27.5;64;;4;0.74004602;-1.36E-02;0.740170975;91.05281952;91.05281952;3
5;28.1;64;;3;0.71647298;0.185105;0.739998238;75.51405598;75.51405598;2
6;27;82;;2;0.21955299;0.367679;0.428242177;30.84278767;30.84278767;1
7;28;78;4.7;5;-0.11777;0.38574901;0.40332626;-16.9775428;343.0224572;8
8;27.7;74;;3;-0.34060001;0.17131101;0.381255595;-63.29905331;296.7009467;7
1;27.1;69;;3;-0.57371002;-1.00E-01;0.582360015;-99.88755276;260.1124472;6
1;27.5;71;;4;-0.61185002;-0.46606001;0.769137426;-127.2973453;232.7026547;6
2;26.8;81;;2;-0.1612;-0.64591002;0.665721559;-165.9869271;194.0130729;5
3;27;78;28.6;4;0.20334101;-0.74194002;0.769300045;164.6734782;164.6734782;4
3;27.3;76;;4;0.45355499;-0.57551003;0.732750929;141.7586297;141.7586297;4
3;28.6;62;;5;0.354368;-0.44924;0.572182888;141.7330346;141.7330346;4
3;27.9;68;;4;0.40449199;-0.58693999;0.712819979;145.4271789;145.4271789;4
3;27.9;73;;3;0.51613599;-0.63980001;0.822034314;141.1063756;141.1063756;4
4;27.4;73;;3;0.64493001;-0.55111998;0.848332453;130.5152898;130.5152898;3
4;28.3;62;;3;0.72925597;-0.44547999;0.85455643;121.4194716;121.4194716;3
4;26.4;75;;3;0.556876;-0.42526999;0.700689263;127.3679189;127.3679189;3
4;27.7;75;20.7;4;0.40000701;-0.17498;0.436604636;113.6266045;113.6266045;3
4;27;72;2.4;4;0.44729099;-0.12564;0.464601592;105.689573;105.689573;3
4;27.4;75;;4;0.55723703;-0.15409;0.578149493;105.4574553;105.4574553;3
4;27.8;60;;3;0.45609599;-0.24574;0.518084645;118.3153472;118.3153472;3
4;27.1;69;0;3;0.60404998;-5.95E-02;0.606973334;95.62558899;95.62558899;3
4;27.3;67;0;4;1.00869;-8.57E-02;1.012324062;94.85628326;94.85628326;3
5;26.7;70;0;3;1.3285;0.35828599;1.375965516;74.90686744;74.90686744;2
5;26.4;68;0;5;1.29503;0.53529602;1.401301013;67.54242039;67.54242039;2
5;27.2;70;0;4;0.92235702;0.58537799;1.092433002;57.59856408;57.59856408;2
5;27.5;71;0;4;0.64124203;0.52980202;0.831794158;50.43606537;50.43606537;2
6;27.7;74;0;4;0.524993;0.58849299;0.788632772;41.73606584;41.73606584;1
6;27.6;80;63;4;0.49468499;0.71402103;0.868642199;34.71482554;34.71482554;1
6;27.5;82;0;4;0.23618799;0.563685;0.611167363;22.73402771;22.73402771;1
7;27.7;78;0;4;-0.10667;0.33007801;0.346886122;-17.90907029;342.0909297;8
8;27.7;70;2.1;4;-0.44508001;0.32631099;0.55188321;-53.75294502;306.247055;7
8;28.5;72;0;4;-0.53314;0.10832;0.544032611;-78.51533166;281.4846683;7
1;27.3;80;10.6;4;-0.57476002;-2.03E-02;0.575118397;-92.02279388;267.9772061;6
1;27.6;78;0;3;-0.62281001;-0.34112;0.710109261;-118.710013;241.289987;6
1;26.6;80;49.2;4;-0.63141;-0.56629997;0.848159327;-131.8883439;228.1116561;6
1;27;77;1;3;-0.55258;-0.15121;0.572895384;-105.3039762;254.6960238;6
8;26.5;70;0;3;-0.45894;2.21E-02;0.459471798;-87.2430833;272.7569167;7
8;26.8;72;0;4;-0.16495;4.59E-02;0.17121715;-74.44991549;285.5500845;7
8;26.8;75;0;4;-0.12864;9.94E-03;0.12902346;-85.58154053;274.4184595;7
1;27.3;70;0;3;-0.30377999;-0.27193001;0.407710943;-131.8334559;228.1665441;6
2;27.3;74;15.2;4;-0.37402999;-0.44108999;0.578324142;-139.7031376;220.2968624;5
2;27.4;76;15.6;3;-0.36916;-0.74769002;0.833858184;-153.7228794;206.2771206;5
2;27.9;71;0;4;-0.38457999;-0.80940002;0.896119502;-154.5856414;205.4143586;5
